,NOME,VALOR,DETALHES,ENDEREÇO
26,Flat em Ponta negra 150 reais a diária top de luxo,R$ 150,"['1 quarto ', ' 50m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Ponta Negra
27,"Apartamento para alugar com 3 dormitórios em Neópolis, Natal cod:EI23064",R$ 820,"['3 quartos ', ' 85m² ', ' Condomínio: R$ 150 ', ' 1 vaga']",Neópolis
28,Apartamento 2/4 no Residencial Ahead Ponta Negra,R$ 2.000,"['2 quartos ', ' 55m² ', ' 1 vaga']",Ponta Negra
29,"Apartamento para alugar com 1 dormitórios em Tirol, Natal cod:EI11395",R$ 450,"['1 quarto ', ' 33m²']",Tirol
30,Acquarelle- Ponta Negra,R$ 3.500,"['3 quartos ', ' 92m² ', ' 2 vagas']",Ponta Negra
31,"Apartamento para alugar com 1 dormitórios em Lagoa nova, Natal cod:4697",R$ 650,"['1 quarto ', ' 40m² ', ' Condomínio: R$ 160 ', ' 1 vaga']",Dix-Sept Rosado
32,Apartamento 2/4 Ponta Negra,R$ 1.500,"['2 quartos ', ' 46m² ', ' 1 vaga']",Ponta Negra
33,"Apartamento para alugar com 2 dormitórios em Ponta negra, Natal cod:11294",R$ 700,"['2 quartos ', ' 45m² ', ' Condomínio: R$ 190 ', ' 1 vaga']",Ponta Negra
34,Alugo apartamento 2/4 no Residencial Porto Palladio em Ponta Negra,R$ 1.100,"['2 quartos ', ' 58m² ', ' Condomínio: R$ 225 ', ' 1 vaga']",Ponta Negra
35,"Apartamento para alugar com 2 dormitórios em Lagoa nova, Natal cod:821176",R$ 1.007,"['2 quartos ', ' 61m² ', ' Condomínio: R$ 440 ', ' 1 vaga']",Dix-Sept Rosado
36,"Apartamento para alugar com 2 dormitórios em Tirol, Natal cod:EI22453",R$ 800,"['2 quartos ', ' 60m² ', ' Condomínio: R$ 200 ', ' 1 vaga']",Tirol
37,"Apartamento com 3 dormitórios para alugar, 87 m² por R 2.500,00/mês - Capim Macio - Natal/",R$ 2.500,"['3 quartos ', ' 87m² ', ' 1 vaga']",Capim Macio
38,"Flat para Locação em Natal, Ponta Negra, 1 dormitório, 1 suíte, 1 banheiro, 1 vaga",R$ 800,"['1 quarto ', ' 30m² ', ' 1 vaga']",Ponta Negra
39,"Apartamento para alugar com 1 dormitórios em Tirol, Natal cod:EI22227",R$ 550,"['1 quarto ', ' 50m² ', ' Condomínio: R$ 250 ', ' 1 vaga']",Tirol
40,"Kitnets para alugar em Mirassol, próximo a UFRN",R$ 600,['1 quarto'],Capim Macio
41,"Apartamento para Locação em Natal, Petrópolis, 2 dormitórios, 1 suíte, 1 vaga",R$ 1.600,"['2 quartos ', ' 60m² ', ' 1 vaga']",Rocas
42,Apartamento mob. 2 quartos,R$ 3.000,"['2 quartos ', ' 34m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Ponta Negra
43,"Apartamento com 2 dormitórios para alugar, 56 m² por R$ 1.600,00/mês - Lagoa Nova - Natal/",R$ 1.600,"['2 quartos ', ' 56m² ', ' 1 vaga']",Lagoa Nova
44,"Apartamento com 2 dormitórios para alugar, 78 m² por R$ 1.300,00/mês - Lagoa Nova - Natal/",R$ 1.300,"['2 quartos ', ' 78m² ', ' Condomínio: R$ 500 ', ' 2 vagas']",Lagoa Nova
45,"Apto em Capim Macio c/ 68 m², 3 dorms c/ suíte, 2 vagas de garagem",R$ 1.900,"['3 quartos ', ' 68m² ', ' 2 vagas']",Capim Macio
46,"Apartamento para alugar com 2 dormitórios em Nova descoberta, Natal cod:EI18163",R$ 750,"['2 quartos ', ' 80m² ', ' Condomínio: R$ 350 ', ' 1 vaga']",Nova Descoberta
47,Aluguel - Apartamento em Capim Macio - 3/4 Suíte - Olimpo,R$ 1.500,"['3 quartos ', ' 60m²']",Capim Macio
48,Aluguel - Apartamento em Capim Macio - 3/4 Suíte - Res. Mandacarú,R$ 1.500,"['3 quartos ', ' 60m²']",Capim Macio
49,Flats mobiliados alto padrão completos,,"['1 quarto ', ' 20m² ', ' Condomínio: R$ 0']",Cidade Alta
50,More no melhor de Ponta Negra / Riviera Ponta Negra,R$ 3.500,"['2 quartos ', ' 55m² ', ' 1 vaga']",Ponta Negra
51,"Condomínio Araguaia, Lagoa Nova, 2/4 - aluguel",R$ 1.200,"['2 quartos ', ' 76m² ', ' Condomínio: R$ 370 ', ' 1 vaga']",Lagoa Nova
52,Green Hill - Locação em Tirol,R$ 1.800,"['2 quartos ', ' 57m² ', ' 1 vaga']",Tirol
53,Condomínio Walfredo Gurgel!,R$ 1.600,"['2 quartos ', ' 70m² ', ' 2 vagas']",Barro Vermelho
54,Aluguel de um apartamento com ótima localização ,R$ 1.100,"['2 quartos ', ' 75m² ', ' Condomínio: R$ 250 ', ' 1 vaga']",Candelária
55,"Apartamento em Neópolis, Condomínio Serrambi II",R$ 750,"['2 quartos ', ' 55m² ', ' 1 vaga']",Ponta Negra
56,Flat Mobiliado no Ocean View em Petrópolis com 50m2 com 1 quarto,R$ 1.800,"['1 quarto ', ' 50m²']",Petrópolis
57,"Alugo kitnet em Felipe Camarão 1/4 sala coz, ban 360,00 não paga água",R$ 360,['0m²'],Felipe Camarão
58,Alugo Kitnet Próximo ao Shopping Midway,,['0m²'],Lagoa Nova
59,Alugo Kitnet na Avenida Rio Branco,,['0m²'],Cidade Alta
60,"Alugo apto no Residence R$ 1.200,00",R$ 1.200,"['1 quarto ', ' 0m²']",Lagoa Nova
61,Lindo apartamento em ponta negra reformado ,R$ 200.000,"['2 quartos ', ' 1 vaga']",Ponta Negra
62,Villa Park Condominio Clube. 2/4 sendo um suite,R$ 1.250,"['2 quartos ', ' 54m² ', ' 1 vaga']",Ponta Negra
63,Apartamento com um quarto nas Quintas,R$ 580,"['1 quarto ', ' 0m²']",Quintas
64,Apartamento em Lagoa Nova ,R$ 1.100,"['1 quarto ', ' Condomínio: R$ 1.100 ', ' 1 vaga']",Lagoa Nova
65,Alugo apartamento 3/4 no Residencial Tereza Campos em Lagoa Nova,R$ 3.200,"['3 quartos ', ' 156m² ', ' Condomínio: R$ 1.070 ', ' 3 vagas']",Lagoa Nova
66,Portal do Alto Petropólis,R$ 3.800,"['3 quartos ', ' 188m² ', ' Condomínio: R$ 1.125 ', ' 2 vagas']",Petrópolis
67,"Apto c/ 3qts, sdo 1ste, Cond. Sun Rise. ",R$ 1.700,"['3 quartos ', ' 2 vagas']",Ponta Negra
68,ALUGO APARTAMENTO NAS ROCAS,R$ 600.000,['2 quartos'],Rocas
69,Aluguel,R$ 1.500,"['3 quartos ', ' Condomínio: R$ 0 ', ' 1 vaga']",Alecrim
70,Excelente apto em Cidade Satelite - Sun Gardens,R$ 1.350,"['2 quartos ', ' 0m² ', ' 2 vagas']",Pitimbu
71,"Apartamento para alugar com 1 dormitórios em Alecrim, Natal cod:3514",R$ 480,"['1 quarto ', ' 30m² ', ' Condomínio: R$ 70']",Alecrim
72,Apartamento Ponta Negra 2/4 alugar,R$ 2.000,"['2 quartos ', ' 54m² ', ' 1 vaga']",Ponta Negra
73,PETRÓPOLIS FRENTE PARA O MAR 3/4,R$ 4.500,"['3 quartos ', ' 160m² ', ' Condomínio: R$ 0 ', ' 2 vagas']",Petrópolis
74,Alugo apartamento (Porto Palladio),R$ 1.100,"['2 quartos ', ' 56m² ', ' 1 vaga']",Neópolis
75,"Apartamento de 1\4 em um luxuoso condomínio em Petrópolis, imaginou acordar com essa vista",R$ 1.750,"['1 quarto ', ' 46m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Petrópolis
76,"Alugo apto 1 quarto, próximo ao Maxx da Prudente",R$ 900,"['1 quarto ', ' 50m² ', ' 1 vaga']",Lagoa Nova
77,"Apartamanto mobiliado em Areia Preta por R$ 4.500,00",R$ 4.500,"['3 quartos ', ' 148m² ', ' Condomínio: R$ 0 ', ' 2 vagas']",Areia Preta
78,"Kitinet Mobiliado em Ponta Negra (internet, tv a cabo, iptu e condomínio)",R$ 700,"['1 quarto ', ' 20m² ', ' 1 vaga']",Ponta Negra
79,Apartamento Ponta Negra ,R$ 1.300,"['2 quartos ', ' 56m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Ponta Negra
80,Apartamento Joan Mirò localizaçao excelente Aluguel diaria ou temporada,,"['2 quartos ', ' 45m²']",Ponta Negra
81,Apt 2/4 Mobiliado  Tudo incluso 2.000 ,R$ 2.000,"['2 quartos ', ' 57m² ', ' 1 vaga']",Candelária
82,Dividir apartamento ,,"['3 quartos ', ' 1 vaga']",Barro Vermelho
83,Alugo Apartamento no  1? andar,R$ 700,"['2 quartos ', ' 50m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Planalto
84,Alugo Apto no Sun Golden - 2/4 sendo 1 suíte - R$ 1.300,R$ 1.300,"['2 quartos ', ' 56m² ', ' 1 vaga']",Ponta Negra
85,"Apartamento com 3 dormitórios para alugar, 81 m² por R$ 2.350,00/mês - Lagoa Nova - Natal/",R$ 2.350,"['3 quartos ', ' 81m² ', ' 1 vaga']",Lagoa Nova
86,Alugo ap mobiliado,R$ 800,"['2 quartos ', ' 60m² ', ' 1 vaga']",Planalto
87,Flat conjunto Alagamar ,R$ 1.200,"['1 quarto ', ' 1 vaga']",Ponta Negra
88,Alugo ap mobiliado,R$ 800,"['2 quartos ', ' 60m² ', ' 1 vaga']",Planalto
89,Locação Planalto - Parada de ônibus em frente ao empreendimento,R$ 750,"['2 quartos ', ' 54m² ', ' 1 vaga']",Planalto
90,2 quartos sendo 1 suíte | Lazer Completo | Padrão Superior | Ótima Localização,R$ 950,"['2 quartos ', ' 50m² ', ' 1 vaga']",Pajuçara
91,Alugo apartamento bairro Lagoa nova,R$ 1.800,"['3 quartos ', ' 95m² ', ' Condomínio: R$ 0 ', ' 2 vagas']",Lagoa Nova
92,Apartamento vista mar em Ponta Negra,R$ 2.200,"['2 quartos ', ' 1 vaga']",Ponta Negra
93,CASA CONJUNTO PONTA NEGRA.,R$ 1.000,"['2 quartos ', ' 1 vaga']",Ponta Negra
94,"Apto de 3/4, 76m² no condomínio Natture em Candelária, Natal RN",R$ 2.000,"['3 quartos ', ' 76m² ', ' 2 vagas']",Candelária
95,"Condomínio Alice Grilo: Apto 4/4 sendo 3 suítes, 160m² em Lagoa Nova, Natal RN",R$ 4.000,"['4 quartos ', ' 160m² ', ' 3 vagas']",Lagoa Nova
96,Carmel,R$ 1.600,"['2 quartos ', ' 55m² ', ' 1 vaga']",Lagoa Nova
97,"Apartamento para alugar com 2 dormitórios em Candelária, Natal cod:4274",R$ 750,"['2 quartos ', ' 60m² ', ' Condomínio: R$ 250 ', ' 1 vaga']",Candelária
98,"Apartamento no Ed. Paul Cezanne em Neópolis c/ 98 m², 1º andar",R$ 2.000,"['3 quartos ', ' 98m² ', ' 2 vagas']",Neópolis
99,ALUGUEL APTO A 250M DA PRAIA PN,R$ 1.000,"['1 quarto ', ' 40m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Ponta Negra
100,Procuro pessoas para dividir AP,,['3 quartos'],Lagoa Nova
101,Cód. 5399 - Corais de Ponta Negra,R$ 1.100,"['3 quartos ', ' 90m² ', ' Condomínio: R$ 760 ', ' 2 vagas']",Ponta Negra
102,Apartamento 2 quartos Tirol,R$ 900,"['2 quartos ', ' 40m² ', ' 1 vaga']",Tirol
103,Alugo Apartamento com 02 quartos em Ponta Negra,R$ 1.800,"['2 quartos ', ' 55m² ', ' 1 vaga']",Ponta Negra
104,Rio Tupana Ponta Negra,R$ 3.500,"['3 quartos ', ' 167m² ', ' 2 vagas']",Ponta Negra
105,Alugo Apartamento 3/4 Capim Macio - Ventilado e Pronto para Morar,R$ 713,"['3 quartos ', ' 83m² ', ' Condomínio: R$ 550 ', ' 1 vaga']",Capim Macio
106,Kitnet,R$ 500,"['1 quarto ', ' 23m²']",Dix-Sept Rosado
107,Excelente apartamento no Planalto - Cond Solar das Estações,R$ 750,"['2 quartos ', ' 0m² ', ' 1 vaga']",Planalto
108,Duna Barcane ,R$ 2.400,"['2 quartos ', ' 57m² ', ' 1 vaga']",Ponta Negra
109,Cod. 11294 - Cond. Praia do Forte,R$ 700,"['2 quartos ', ' 46m² ', ' Condomínio: R$ 190 ', ' 1 vaga']",Ponta Negra
110,Alugo apartamento com 02 Quartos no Ahead Ponta Negra,R$ 3.000,"['2 quartos ', ' 0m² ', ' 1 vaga']",Ponta Negra
111,Apartamento Mobiliado 2/4 em Ponta Negra ,R$ 2.000,"['2 quartos ', ' 1 vaga']",Ponta Negra
112,Kit Net bem localizado Conjunto Pirangi,R$ 500,"['1 quarto ', ' 32m²']",Neópolis
113,"Praia do forte, Ap com jardim",R$ 1.000,"['2 quartos ', ' 55m² ', ' 1 vaga']",Neópolis
114,Apartamento para aluguel em ponta Negra,R$ 2.200,"['2 quartos ', ' 59m² ', ' Condomínio: R$ 350 ', ' 2 vagas']",Ponta Negra
115,Aluguel - Apartamento em Ponta Negra - Açai Flat - 36m²,R$ 1.703,"['1 quarto ', ' 40m²']",Ponta Negra
116,Alugo apartamento no Olimpo Capim Macio ,R$ 1.600,"['2 quartos ', ' 59m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Capim Macio
117,Excelente kitnet por R$500 Conj. Pirangi 1 Neópolis,R$ 500,['1 quarto'],Neópolis
118,Aluga-se apartamento no centro de Caicó!,R$ 700,['2 quartos'],Neópolis
119,"Cond. Ecogarden Ponta Negra - Apartamento de 2/4 sendo 1 suíte, com 56m², para locação",R$ 1.400,"['2 quartos ', ' 56m² ', ' 1 vaga']",Ponta Negra
120,Kitnet em Lagoa Nova,R$ 950,"['1 quarto ', ' 24m²']",Lagoa Nova
121,"Cond. Sun Towers; com projetados; 2/4, sendo 1 suíte; 59m²; 1 vaga; próximo a BR 101",R$ 1.600,"['2 quartos ', ' 59m² ', ' 1 vaga']",Pitimbu
122,Apartamento para Aluguel,R$ 1.400,"['2 quartos ', ' 94m² ', ' 1 vaga']",Tirol
123,Aluga se apartamento,R$ 1.700,"['2 quartos ', ' 56m² ', ' Condomínio: R$ 350 ', ' 1 vaga']",Petrópolis
124,"Locação 2/4 sendo 1 suíte - R$ 1.400,00 - Ponta Negra (tudo incluso)",R$ 1.400,"['2 quartos ', ' 54m²']",Ponta Negra
125,"Apartamento 2/4 sendo 1 suíte, mobiliado, em Capim Macio ",R$ 1.850,"['2 quartos ', ' 57m² ', ' 1 vaga']",Capim Macio
126,Alugo apto em capim macio R$700,R$ 700,"['3 quartos ', ' 72m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Capim Macio
127,"Apto 114m2, 3/4, sala ampla, área de lazer perfeita, Lácqua, sombra, taxas inclusas",R$ 3.000,"['3 quartos ', ' 114m² ', ' 2 vagas']",Neópolis
128,Aluguel - Apartamento em Ponta Negra - Uma Suíte - Mobiliado - Papaya Flat,R$ 1.701,"['1 quarto ', ' 36m²']",Ponta Negra
129,Capim Macio-Serra do Cabugi-Sombra-02 quartos-1º andar- Mil Reais.,R$ 1.000,"['2 quartos ', ' 50m² ', ' Condomínio: R$ 1 ', ' 1 vaga']",Capim Macio
130,Apto 3/4 em Neópolis,R$ 820,"['3 quartos ', ' 85m² ', ' Condomínio: R$ 150 ', ' 1 vaga']",Neópolis
131,Flat em ponta negra beira mar,R$ 180,"['1 quarto ', ' 1 vaga']",Ponta Negra
132,LM AP2206- Lindíssimo Apartamento 2 quartos Pitimbu,R$ 1.000,"['2 quartos ', ' 55m² ', ' 1 vaga']",Pitimbu
133,LM- Alto Padrão Porto Arena - 3 quartos,R$ 3.200,"['3 quartos ', ' 98m² ', ' 2 vagas']",Candelária
134,Apartamentos em Felipe camarão,R$ 400,['1 quarto'],Felipe Camarão
135,"Apartamento para Locação em Natal, Neópolis, 3 dormitórios, 1 suíte, 2 banheiros, 1 vaga",R$ 800,"['3 quartos ', ' 81m² ', ' 1 vaga']",Capim Macio
136,"Apartamento para Locação em Natal, Capim Macio, 3 dormitórios, 1 suíte, 1 banheiro, 1 vaga",R$ 1.600,"['3 quartos ', ' 70m² ', ' 1 vaga']",Capim Macio
137,Apartamento no Tirol (Condomínio La Vivance) com 3\4 e 96 metros,R$ 450.000,"['3 quartos ', ' 96m² ', ' Condomínio: R$ 600 ', ' 2 vagas']",Tirol
138,"Apartamento para Locação em Natal, Capim Macio, 3 dormitórios, 1 suíte, 1 banheiro, 1 vaga",R$ 1.600,"['3 quartos ', ' 70m² ', ' 1 vaga']",Capim Macio
139,"Apartamento para alugar com 3 dormitórios em Ponta negra, Natal cod:AA-7206",R$ 2.100,"['3 quartos ', ' Condomínio: R$ 664 ', ' 2 vagas']",Ponta Negra
140,"Apartamento para alugar com 4 dormitórios em Candelária, Natal cod:2796",R$ 1.800,"['4 quartos ', ' 396m² ', ' Condomínio: R$ 1.545 ', ' 3 vagas']",Lagoa Nova
141,Apartamento no Condomínio Sports Park mobiliado com 2\4,R$ 2.800,"['2 quartos ', ' 108m² ', ' Condomínio: R$ 0 ', ' 2 vagas']",Ponta Negra
142,"Apartamento para alugar com 2 dormitórios em Lagoa nova, Natal cod:AA-7207",R$ 1.332,"['2 quartos ', ' 143m² ', ' Condomínio: R$ 520 ', ' 2 vagas']",Lagoa Nova
143,Apartamento em capim macio próximo da roberto freire e unp com 50 metros 1\4,R$ 800,"['1 quarto ', ' 50m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Capim Macio
144,Apto 1 quarto Ponta Negra,R$ 800,"['1 quarto ', ' 55m² ', ' Condomínio: R$ 0']",Ponta Negra
145,"Apartamento para alugar com 4 dormitórios em Tirol, Natal cod:AA-7208",R$ 2.293,"['4 quartos ', ' 246m² ', ' Condomínio: R$ 2.250 ', ' 3 vagas']",Tirol
146,"Excelente apartamento em lagoa nova com 3 quartos,",R$ 3.336,"['3 quartos ', ' 130m² ', ' 2 vagas']",Lagoa Nova
147,"Apto em Lagoa Nova com 3/4 sendo 1 Suite, Mobiliado, 75m², Andar Baixo",R$ 1.800,"['3 quartos ', ' 75m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Lagoa Nova
148,Condomínio Parque das Pedras ,R$ 1.050,"['2 quartos ', ' 75m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Candelária
149,Apartamento Palazzo Ponta Negra em Capim Macio,R$ 4.300,"['3 quartos ', ' 156m² ', ' 3 vagas']",Capim Macio
150,"Apartamento para alugar com 3 dormitórios em Lagoa nova, Natal cod:10354",R$ 850,"['3 quartos ', ' 68m² ', ' Condomínio: R$ 470 ', ' 1 vaga']",Lagoa Nova
151,"Apartamento com 3 quartos, 98 m², 3º andar",R$ 1.450,"['3 quartos ', ' 97m² ', ' 1 vaga']",Neópolis
152,Sofisticação & Exclusividade - Bem vindo ao seu novo Lar =),R$ 2.500,"['3 quartos ', ' 112m² ', ' Condomínio: R$ 800 ', ' 2 vagas']",Lagoa Nova
153,Alugo Estrela do Atlantico ,R$ 2.300,"['2 quartos ', ' 59m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Ponta Negra
154,"Apartamento para alugar com 2 dormitórios em Cidade satélite, Natal cod:4985",R$ 650,"['2 quartos ', ' 56m² ', ' 1 vaga']",Pitimbu
155,Apartamento acabamento luxo para locaçao natture,R$ 2.500,"['2 quartos ', ' 75m² ', ' 2 vagas']",Neópolis
156,Aluga Apartamento,R$ 700,['2 quartos'],Cidade Alta
157,Alugo Kitnet Capim Macio ,R$ 650,"['1 quarto ', ' Condomínio: R$ 0']",Capim Macio
158,Apartamento Mobiliado em ponta negra,R$ 1.300,"['2 quartos ', ' 34m²']",Ponta Negra
159,Aluguel - Apartamento em Ponta Negra - 1 suíte - Kiwi Flat - 40m²,R$ 1.500,"['1 quarto ', ' 40m²']",Ponta Negra
160,Apartamento em neopolis/capim macio Oportunidade única,R$ 800,"['2 quartos ', ' 70m² ', ' Condomínio: R$ 100 ', ' 1 vaga']",Capim Macio
161,Villagio Veritá I,R$ 900,"['2 quartos ', ' 55m² ', ' 1 vaga']",Pitimbu
162,"Cobertura smile vilage com 4/4 para aluguel,sendo 3 suites",R$ 3.200,"['4 quartos ', ' 171m² ', ' 3 vagas']",Cidade da Esperança
163,Excelente Apto 3/4 no Condominio Central Park Club,R$ 2.000,"['3 quartos ', ' 75m² ', ' Condomínio: R$ 390 ', ' 2 vagas']",Neópolis
164,"Alugo apt mobiliado no serra Cabugi l, Capim Macio ",R$ 1.100,"['3 quartos ', ' 75m² ', ' Condomínio: R$ 360 ', ' 1 vaga']",Capim Macio
165,Apartamento no Duna Barcane,R$ 329.000,"['2 quartos ', ' 56m² ', ' 1 vaga']",Ponta Negra
166,LMAP2199 Apartamento Residencial Jardins do Alto,R$ 3.000,"['2 quartos ', ' 700m² ', ' 1 vaga']",Tirol
167,Apartamento para locação em Capim Macio - Natal/RN.,R$ 1.300,"['1 quarto ', ' 55m² ', ' Condomínio: R$ 320 ', ' 2 vagas']",Capim Macio
168,LMAP1358 Apartamento Residencial Quality,R$ 1.300,"['2 quartos ', ' 6000m² ', ' Condomínio: R$ 1.300 ', ' 1 vaga']",Ponta Negra
169,Kit Net em Candelária (ótima localização),R$ 500,"['1 quarto ', ' 0m²']",Candelária
170,Kit net em Candelária (um disponível),R$ 500,"['1 quarto ', ' 0m²']",Candelária
171,Potengi Flat!,R$ 2.000,"['1 quarto ', ' 60m² ', ' 1 vaga']",Petrópolis
172,Excelente oportunidade no Duna Barcane 11° andar,R$ 330.000,"['2 quartos ', ' 56m² ', ' 1 vaga']",Ponta Negra
173,Kitnet em Bom Pastor,R$ 370,"['1 quarto ', ' 40m²']",Bom Pastor
174,LMAP2184 Apartamento Residencial Porto Salina,R$ 2.194,"['3 quartos ', ' 1890m² ', ' Condomínio: R$ 1.580 ', ' 3 vagas']",Areia Preta
175,"Apart. Candelária (90m², bem localizado, 3/4 sendo 01 suíte) R$ 1.400,00",R$ 1.400,"['3 quartos ', ' 90m² ', ' 1 vaga']",Candelária
176,"Bairro Neópolis - BR 101 - R$ 600,00 Incluso Condomínio,água, internet e IPTU",R$ 600,"['1 quarto ', ' 26m²']",Neópolis
177,Flat Mobiliado em Areia Preta,R$ 2.001,"['1 quarto ', ' 35m² ', ' 1 vaga']",Petrópolis
178,"Kitnet em Neópolis à partir de R$ 600,00",R$ 600,"['1 quarto ', ' 20m² ', ' 5 ou mais vaga']",Neópolis
179,"Aluga-se, Apto com 2Quartos sendo 1Suite, em Capim Macio",R$ 1.588,"['2 quartos ', ' 56m² ', ' 1 vaga']",Capim Macio
180,Alugo apartamento no jardins do Alto,,"['2 quartos ', ' 70m² ', ' 1 vaga']",Tirol
181,Alugo kitnet,R$ 550,"['1 quarto ', ' 20m²']",Alecrim
182,Vendo Excelente apartamento de 2 quartos no Spazzio Privillege,R$ 249.000,"['2 quartos ', ' 60m² ', ' 1 vaga']",Ponta Negra
183,Alugo Excelente Apto no Cond Sun Gardens,R$ 1.250,"['2 quartos ', ' 0m² ', ' 2 vagas']",Pitimbu
184,Alugo Apto de Alto Padrão Carlos Drumond de Andrade - Mobiliado,R$ 8.000,"['3 quartos ', ' 205m² ', ' 3 vagas']",Lagoa Nova
185,"Apartamento com dois dormitórios no bairro de Ponta Negra, vista para o mar",R$ 2.000,"['2 quartos ', ' 56m² ', ' 1 vaga']",Ponta Negra
186,Apartamento no Olimpo em capim macio com 3 quartos venha morar em uma ótima localização,R$ 1.600,"['3 quartos ', ' 64m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Capim Macio
187,"Apartamento com 1 dormitório para alugar, 54 m² por R$ 1.750,00/mês - Tirol - Natal/RN",R$ 1.750,"['1 quarto ', ' 54m² ', ' 1 vaga']",Tirol
188,Oportunidade!!! Apartamento para Alugar em Capim Macio,R$ 1.600,"['2 quartos ', ' 0m² ', ' 1 vaga']",Capim Macio
189,Dividir apartamento ,,['2 quartos'],Candelária
